Preferred_Name	Name	Source
ER3413_74	ER3413_74	Ensembl Gene ID
ER3413_74	AIZ54566	Ensembl Protein ID
ER3413_74	ilvI	Gene Name
ER3413_74	b0077	RefSeq Protein ID
ER3413_75	ER3413_75	Ensembl Gene ID
ER3413_75	AIZ54576	Ensembl Protein ID
ER3413_75	ilvH	Gene Name
ER3413_75	b0078	RefSeq Protein ID
ER3413_76	ER3413_76	Ensembl Gene ID
ER3413_76	AIZ54586	Ensembl Protein ID
ER3413_76	cra	Gene Name
ER3413_76	b0080	RefSeq Protein ID
ER3413_78	ER3413_78	Ensembl Gene ID
ER3413_78	AIZ54600	Ensembl Protein ID
ER3413_78	mraZ	Gene Name
ER3413_78	b0081	RefSeq Protein ID
ER3413_79	ER3413_79	Ensembl Gene ID
ER3413_79	AIZ54610	Ensembl Protein ID
ER3413_79	rsmH	Gene Name
ER3413_79	b0082	RefSeq Protein ID
ER3413_80	ER3413_80	Ensembl Gene ID
ER3413_80	AIZ54622	Ensembl Protein ID
ER3413_80	ftsL	Gene Name
ER3413_80	b0083	RefSeq Protein ID
ER3413_81	ER3413_81	Ensembl Gene ID
ER3413_81	AIZ54633	Ensembl Protein ID
ER3413_81	ftsI	Gene Name
ER3413_81	b0084	RefSeq Protein ID
ER3413_82	ER3413_82	Ensembl Gene ID
ER3413_82	AIZ54644	Ensembl Protein ID
ER3413_82	murE	Gene Name
ER3413_82	b0085	RefSeq Protein ID
ER3413_83	ER3413_83	Ensembl Gene ID
ER3413_83	AIZ54655	Ensembl Protein ID
ER3413_83	murF	Gene Name
ER3413_83	b0086	RefSeq Protein ID
ER3413_84	ER3413_84	Ensembl Gene ID
ER3413_84	AIZ54666	Ensembl Protein ID
ER3413_84	mraY	Gene Name
ER3413_84	b0087	RefSeq Protein ID
ER3413_85	ER3413_85	Ensembl Gene ID
ER3413_85	AIZ54677	Ensembl Protein ID
ER3413_85	murD	Gene Name
ER3413_85	b0088	RefSeq Protein ID
ER3413_86	ER3413_86	Ensembl Gene ID
ER3413_86	AIZ54687	Ensembl Protein ID
ER3413_86	ftsW	Gene Name
ER3413_86	b0089	RefSeq Protein ID
ER3413_87	ER3413_87	Ensembl Gene ID
ER3413_87	AIZ54698	Ensembl Protein ID
ER3413_87	murG	Gene Name
ER3413_87	b0090	RefSeq Protein ID
ER3413_88	ER3413_88	Ensembl Gene ID
ER3413_88	AIZ54708	Ensembl Protein ID
ER3413_88	murC	Gene Name
ER3413_88	b0091	RefSeq Protein ID
ER3413_89	ER3413_89	Ensembl Gene ID
ER3413_89	AIZ54719	Ensembl Protein ID
ER3413_89	ddlB	Gene Name
ER3413_89	b0092	RefSeq Protein ID
ER3413_90	ER3413_90	Ensembl Gene ID
ER3413_90	AIZ54731	Ensembl Protein ID
ER3413_90	ftsQ	Gene Name
ER3413_90	b0093	RefSeq Protein ID
ER3413_91	ER3413_91	Ensembl Gene ID
ER3413_91	AIZ54740	Ensembl Protein ID
ER3413_91	ftsA	Gene Name
ER3413_91	b0094	RefSeq Protein ID
ER3413_92	ER3413_92	Ensembl Gene ID
ER3413_92	AIZ54750	Ensembl Protein ID
ER3413_92	ftsZ	Gene Name
ER3413_92	b0095	RefSeq Protein ID
ER3413_93	ER3413_93	Ensembl Gene ID
ER3413_93	AIZ54761	Ensembl Protein ID
ER3413_93	lpxC	Gene Name
ER3413_93	b0096	RefSeq Protein ID
ER3413_94	ER3413_94	Ensembl Gene ID
ER3413_94	AIZ54772	Ensembl Protein ID
ER3413_94	secM	Gene Name
ER3413_94	b0097	RefSeq Protein ID
ER3413_95	ER3413_95	Ensembl Gene ID
ER3413_95	AIZ54783	Ensembl Protein ID
ER3413_95	secA	Gene Name
ER3413_95	b0098	RefSeq Protein ID
ER3413_96	ER3413_96	Ensembl Gene ID
ER3413_96	AIZ54792	Ensembl Protein ID
ER3413_96	mutT	Gene Name
ER3413_96	b0099	RefSeq Protein ID
ER3413_97	ER3413_97	Ensembl Gene ID
ER3413_97	AIZ54803	Ensembl Protein ID
ER3413_97	yacG	Gene Name
ER3413_97	b0101	RefSeq Protein ID
ER3413_98	ER3413_98	Ensembl Gene ID
ER3413_98	AIZ54814	Ensembl Protein ID
ER3413_98	zapD	Gene Name
ER3413_98	b0102	RefSeq Protein ID
ER3413_99	ER3413_99	Ensembl Gene ID
ER3413_99	AIZ54824	Ensembl Protein ID
ER3413_99	coaE	Gene Name
ER3413_99	b0103	RefSeq Protein ID
ER3413_100	ER3413_100	Ensembl Gene ID
ER3413_100	AIZ50785	Ensembl Protein ID
ER3413_100	guaC	Gene Name
ER3413_100	b0104	RefSeq Protein ID
ER3413_101	ER3413_101	Ensembl Gene ID
ER3413_101	AIZ50796	Ensembl Protein ID
ER3413_101	hofC	Gene Name
ER3413_101	b0106	RefSeq Protein ID
ER3413_102	ER3413_102	Ensembl Gene ID
ER3413_102	AIZ50807	Ensembl Protein ID
ER3413_102	hofB	Gene Name
ER3413_102	b0107	RefSeq Protein ID
ER3413_103	ER3413_103	Ensembl Gene ID
ER3413_103	AIZ50817	Ensembl Protein ID
ER3413_103	ppdD	Gene Name
ER3413_103	b0108	RefSeq Protein ID
ER3413_104	ER3413_104	Ensembl Gene ID
ER3413_104	AIZ50826	Ensembl Protein ID
ER3413_104	nadC	Gene Name
ER3413_104	b0109	RefSeq Protein ID
ER3413_105	ER3413_105	Ensembl Gene ID
ER3413_105	AIZ50835	Ensembl Protein ID
ER3413_105	ampD	Gene Name
ER3413_105	b0110	RefSeq Protein ID
ER3413_106	ER3413_106	Ensembl Gene ID
ER3413_106	AIZ50844	Ensembl Protein ID
ER3413_106	ampE	Gene Name
ER3413_106	b0111	RefSeq Protein ID
ER3413_107	ER3413_107	Ensembl Gene ID
ER3413_107	AIZ50853	Ensembl Protein ID
ER3413_107	aroP	Gene Name
ER3413_107	b0112	RefSeq Protein ID
ER3413_108	ER3413_108	Ensembl Gene ID
ER3413_108	AIZ50862	Ensembl Protein ID
ER3413_108	pdhR	Gene Name
ER3413_108	b0113	RefSeq Protein ID
ER3413_109	ER3413_109	Ensembl Gene ID
ER3413_109	AIZ50872	Ensembl Protein ID
ER3413_109	aceE	Gene Name
ER3413_109	b0114	RefSeq Protein ID
ER3413_110	ER3413_110	Ensembl Gene ID
ER3413_110	AIZ50884	Ensembl Protein ID
ER3413_110	aceF	Gene Name
ER3413_110	b0115	RefSeq Protein ID
ER3413_111	ER3413_111	Ensembl Gene ID
ER3413_111	AIZ50894	Ensembl Protein ID
ER3413_111	lpd	Gene Name
ER3413_111	b0116	RefSeq Protein ID
ER3413_112	ER3413_112	Ensembl Gene ID
ER3413_112	AIZ50903	Ensembl Protein ID
ER3413_112	yacH	Gene Name
ER3413_112	b0117	RefSeq Protein ID
ER3413_113	ER3413_113	Ensembl Gene ID
ER3413_113	AIZ50914	Ensembl Protein ID
ER3413_113	acnB	Gene Name
ER3413_113	b0118	RefSeq Protein ID
ER3413_114	ER3413_114	Ensembl Gene ID
ER3413_114	AIZ50925	Ensembl Protein ID
ER3413_114	yacL	Gene Name
ER3413_114	b0119	RefSeq Protein ID
ER3413_115	ER3413_115	Ensembl Gene ID
ER3413_115	AIZ50936	Ensembl Protein ID
ER3413_115	speD	Gene Name
ER3413_115	b0120	RefSeq Protein ID
ER3413_116	ER3413_116	Ensembl Gene ID
ER3413_116	AIZ50946	Ensembl Protein ID
ER3413_116	speE	Gene Name
ER3413_116	b0121	RefSeq Protein ID
ER3413_117	ER3413_117	Ensembl Gene ID
ER3413_117	AIZ50957	Ensembl Protein ID
ER3413_117	yacC	Gene Name
ER3413_117	b0122	RefSeq Protein ID
ER3413_118	ER3413_118	Ensembl Gene ID
ER3413_118	AIZ50964	Ensembl Protein ID
ER3413_118	cueO	Gene Name
ER3413_118	b0123	RefSeq Protein ID
ER3413_119	ER3413_119	Ensembl Gene ID
ER3413_119	AIZ50972	Ensembl Protein ID
ER3413_119	gcd	Gene Name
ER3413_119	b0124	RefSeq Protein ID
ER3413_120	ER3413_120	Ensembl Gene ID
ER3413_120	AIZ50984	Ensembl Protein ID
ER3413_120	hpt	Gene Name
ER3413_120	b0125	RefSeq Protein ID
ER3413_121	ER3413_121	Ensembl Gene ID
ER3413_121	AIZ50994	Ensembl Protein ID
ER3413_121	can	Gene Name
ER3413_121	b0126	RefSeq Protein ID
ER3413_122	ER3413_122	Ensembl Gene ID
ER3413_122	AIZ51003	Ensembl Protein ID
ER3413_122	yadG	Gene Name
ER3413_122	b0127	RefSeq Protein ID
ER3413_123	ER3413_123	Ensembl Gene ID
ER3413_123	AIZ51014	Ensembl Protein ID
ER3413_123	yadH	Gene Name
ER3413_123	b0128	RefSeq Protein ID
ER3413_124	ER3413_124	Ensembl Gene ID
ER3413_124	AIZ51025	Ensembl Protein ID
ER3413_124	yadI	Gene Name
ER3413_124	b0129	RefSeq Protein ID
ER3413_125	ER3413_125	Ensembl Gene ID
ER3413_125	AIZ51033	Ensembl Protein ID
ER3413_125	yadE	Gene Name
ER3413_125	b0130	RefSeq Protein ID
ER3413_126	ER3413_126	Ensembl Gene ID
ER3413_126	AIZ51039	Ensembl Protein ID
ER3413_126	panD	Gene Name
ER3413_126	b0131	RefSeq Protein ID
ER3413_128	ER3413_128	Ensembl Gene ID
ER3413_128	AIZ51059	Ensembl Protein ID
ER3413_128	yadD	Gene Name
ER3413_128	b0132	RefSeq Protein ID
ER3413_129	ER3413_129	Ensembl Gene ID
ER3413_129	AIZ51070	Ensembl Protein ID
ER3413_129	panC	Gene Name
ER3413_129	b0133	RefSeq Protein ID
ER3413_130	ER3413_130	Ensembl Gene ID
ER3413_130	AIZ51082	Ensembl Protein ID
ER3413_130	panB	Gene Name
ER3413_130	b0134	RefSeq Protein ID
ER3413_131	ER3413_131	Ensembl Gene ID
ER3413_131	AIZ51090	Ensembl Protein ID
ER3413_131	yadC	Gene Name
ER3413_131	b0135	RefSeq Protein ID
ER3413_132	ER3413_132	Ensembl Gene ID
ER3413_132	AIZ51101	Ensembl Protein ID
ER3413_132	yadK	Gene Name
ER3413_132	b0136	RefSeq Protein ID
ER3413_133	ER3413_133	Ensembl Gene ID
ER3413_133	AIZ51110	Ensembl Protein ID
ER3413_133	yadL	Gene Name
ER3413_133	b0137	RefSeq Protein ID
ER3413_134	ER3413_134	Ensembl Gene ID
ER3413_134	AIZ51121	Ensembl Protein ID
ER3413_134	yadM	Gene Name
ER3413_134	b0138	RefSeq Protein ID
ER3413_136	ER3413_136	Ensembl Gene ID
ER3413_136	AIZ51139	Ensembl Protein ID
ER3413_136	htrE	Gene Name
ER3413_136	b0139	RefSeq Protein ID
ER3413_137	ER3413_137	Ensembl Gene ID
ER3413_137	AIZ51150	Ensembl Protein ID
ER3413_137	yadV	Gene Name
ER3413_137	b0140	RefSeq Protein ID
ER3413_138	ER3413_138	Ensembl Gene ID
ER3413_138	AIZ51161	Ensembl Protein ID
ER3413_138	yadN	Gene Name
ER3413_138	b0141	RefSeq Protein ID
ER3413_139	ER3413_139	Ensembl Gene ID
ER3413_139	AIZ51169	Ensembl Protein ID
ER3413_139	folK	Gene Name
ER3413_139	b0142	RefSeq Protein ID
ER3413_140	ER3413_140	Ensembl Gene ID
ER3413_140	AIZ51173	Ensembl Protein ID
ER3413_140	pcnB	Gene Name
ER3413_140	b0143	RefSeq Protein ID
ER3413_141	ER3413_141	Ensembl Gene ID
ER3413_141	AIZ51182	Ensembl Protein ID
ER3413_141	gluQ	Gene Name
ER3413_141	b0144	RefSeq Protein ID
ER3413_142	ER3413_142	Ensembl Gene ID
ER3413_142	AIZ51192	Ensembl Protein ID
ER3413_142	dksA	Gene Name
ER3413_142	b0145	RefSeq Protein ID
ER3413_143	ER3413_143	Ensembl Gene ID
ER3413_143	AIZ51203	Ensembl Protein ID
ER3413_143	sfsA	Gene Name
ER3413_143	b0146	RefSeq Protein ID
ER3413_144	ER3413_144	Ensembl Gene ID
ER3413_144	AIZ51211	Ensembl Protein ID
ER3413_144	ligT	Gene Name
ER3413_144	b0147	RefSeq Protein ID
ER3413_145	ER3413_145	Ensembl Gene ID
ER3413_145	AIZ51219	Ensembl Protein ID
ER3413_145	hrpB	Gene Name
ER3413_145	b0148	RefSeq Protein ID
ER3413_146	ER3413_146	Ensembl Gene ID
ER3413_146	AIZ51230	Ensembl Protein ID
ER3413_146	mrcB	Gene Name
ER3413_146	b0149	RefSeq Protein ID
ER3413_148	ER3413_148	Ensembl Gene ID
ER3413_148	AIZ51246	Ensembl Protein ID
